job_hash,company,title,location,url,match_score,reason,source,posted_at,seen_at
316b32d5256d3fba1614624a3da57905,Canonical,"Graduate Software Engineer, Open Source and Linux, Canonical Ubuntu",Home based - Worldwide,https://job-boards.greenhouse.io/canonical/jobs/8142329,28,Heuristic overlap: 6/20 listed skills and 1/4 locations appeared in the posting.,greenhouse,2026-08-24T09:14:46+00:00,2026-09-07T17:03:20Z
98453aec3acf8a8c890f1bfc9debd4e9,Canonical,"Manager, People Analytics",Home Based - Americas; Home based - EMEA,https://job-boards.greenhouse.io/canonical/jobs/7836561,21,Heuristic overlap: 4/20 listed skills and 1/4 locations appeared in the posting.,greenhouse,2026-07-17T18:36:11+00:00,2026-09-07T17:03:20Z
1472eb1bf1d094f37a9c458732b9f5db,Canonical,Organisational Development Associate,Home Based - Americas; Home based - EMEA,https://job-boards.greenhouse.io/canonical/jobs/8160237,14,Heuristic overlap: 2/20 listed skills and 1/4 locations appeared in the posting.,greenhouse,2026-08-26T18:37:09+00:00,2026-09-07T17:03:20Z
ad5bc5ea64b00c7ae72c02909bc3f3ad,Canonical,Regional SDR Director,Home Based - Americas; Home Based - APAC; Home based - EMEA; Home based - Worldwide,https://job-boards.greenhouse.io/canonical/jobs/8094035,18,Heuristic overlap: 3/20 listed skills and 1/4 locations appeared in the posting.,greenhouse,2026-07-29T11:53:55+00:00,2026-09-07T17:03:20Z
4bef090412b29e7f852693e0a6a5726a,Canonical,Senior Organisational Development Practitioner,Home Based - Americas; Home based - EMEA,https://job-boards.greenhouse.io/canonical/jobs/8090587,14,Heuristic overlap: 2/20 listed skills and 1/4 locations appeared in the posting.,greenhouse,2026-07-28T08:47:36+00:00,2026-09-07T17:03:20Z
32c7f493fb6db73b32807968a4e14ced,Canonical,Software Engineer - Secure Container Images,Home Based - Americas; Home Based - APAC; Home based - EMEA,https://job-boards.greenhouse.io/canonical/jobs/8130859,28,Heuristic overlap: 6/20 listed skills and 1/4 locations appeared in the posting.,greenhouse,2026-08-14T19:30:38+00:00,2026-09-07T17:03:20Z
cb31300acdca862219534e10dc195283,Canonical,Talent Acquisition Strategist,Home based - EMEA,https://job-boards.greenhouse.io/canonical/jobs/8105144,21,Heuristic overlap: 4/20 listed skills and 1/4 locations appeared in the posting.,greenhouse,2026-08-04T12:40:39+00:00,2026-09-07T17:03:20Z
58d36e06bf3a1cd2fdab76a454805d47,Discord,Advertising Operations Manager,San Francisco Bay Area or New York (Remote),https://job-boards.greenhouse.io/discord/jobs/8686353002,18,Heuristic overlap: 3/20 listed skills and 1/4 locations appeared in the posting.,greenhouse,2026-08-07T00:13:29+00:00,2026-09-07T17:03:20Z
2984c34a0c13893d59fa46863c1f7548,Discord,Oracle ERP Fusion Functional Analyst,San Francisco Bay Area or Remote (U.S.),https://job-boards.greenhouse.io/discord/jobs/8627166002,11,Heuristic overlap: 1/20 listed skills and 1/4 locations appeared in the posting.,greenhouse,2026-07-10T04:16:16+00:00,2026-09-07T17:03:20Z
6741e75c3fbec1a86d6e03d2e341a0aa,Discord,Oracle ERP Fusion Technical Developer,San Francisco Bay Area or Remote (U.S.),https://job-boards.greenhouse.io/discord/jobs/8627078002,11,Heuristic overlap: 1/20 listed skills and 1/4 locations appeared in the posting.,greenhouse,2026-07-10T04:08:20+00:00,2026-09-07T17:03:20Z
